AX,AY,AZ,GX,GY,GZ,Result
-1.03,-0.65,-4.01,0.08,0.46,-0.17,1
-0.59,-0.59,-3.25,0.05,0.26,-0.39,1
-0.12,-0.74,-3.67,0.01,0.26,-0.43,1
-0.33,-0.63,-3.22,0.03,0.55,-0.36,1
0.0,0.0,0.0,-0.07,0.37,-0.46,1
0.0,0.0,0.0,-0.11,0.27,-0.56,1
-1.94,-0.9,-3.5,-0.05,0.15,-0.39,1
-1.81,-1.0,-3.29,-0.09,0.18,-0.15,1
-1.65,-0.67,-3.12,-0.09,-0.03,-0.0,1
0.0,0.0,0.0,-0.13,-0.19,-0.05,1
0.0,0.0,0.0,-0.11,-0.32,-0.14,1
0.0,0.0,0.0,-0.18,-0.08,-0.1,1
0.0,0.0,0.0,-0.13,-0.36,-0.04,1
-0.03,-0.91,-4.69,-0.09,-0.36,-0.0,1
0.21,-2.6,-5.21,0.04,-0.52,-0.06,1
-0.68,-0.2,-4.71,-0.18,-0.3,0.09,1
0.0,0.0,0.0,-0.07,-0.57,-0.11,1
0.0,0.0,0.0,-0.02,-0.41,-0.13,1
0.0,0.0,0.0,-0.04,-0.44,-0.06,1
0.0,0.0,0.0,-0.24,-0.44,-0.07,1
0.0,0.0,0.0,-0.23,0.12,-0.13,1
0.0,0.0,0.0,-0.28,-0.78,-0.13,1
0.0,0.0,0.0,-0.17,0.12,-0.04,1
-3.27,-1.4,-4.04,-0.28,-0.04,-0.17,1
0.25,-1.06,-3.22,0.18,-0.18,-0.11,1
-0.8,-1.64,-3.53,0.02,0.04,-0.31,1
-1.04,-0.44,-3.59,-0.09,0.24,-0.17,1
-0.35,1.2,-3.12,0.08,0.08,-0.41,1
-1.76,-0.02,-3.37,0.15,-0.05,-0.34,1
-1.6,-0.72,-2.68,-0.02,-0.0,-0.16,1
-1.35,-1.22,-2.54,-0.12,-0.1,-0.14,1
0.0,0.0,0.0,-0.14,0.04,-0.06,1
-1.89,-2.55,-3.99,-0.05,-0.13,-0.36,1
0.0,0.0,0.0,-0.01,0.05,-0.39,1
0.0,0.0,0.0,0.45,-0.59,-0.26,1
-0.92,-1.86,-4.36,0.04,-0.15,-0.29,1
-1.45,-0.67,-4.54,-0.05,0.37,0.01,1
-2.59,-0.53,-4.47,-0.16,-0.0,0.05,1
-3.3,-1.75,-4.51,0.06,-0.91,-0.32,1
0.04,-0.98,-2.46,0.12,-0.61,-0.12,1
-1.55,-0.11,-1.89,-0.18,-0.6,0.02,1
-1.07,-0.5,-1.74,-0.11,-0.39,-0.17,1
-0.38,-2.73,-1.44,0.02,-0.07,-0.45,1
-1.9,-0.15,-2.07,0.02,-0.02,-0.11,1
-1.19,-1.31,-2.51,0.09,-0.1,0.08,1
-1.26,-1.03,-3.3,0.06,0.25,0.1,1
0.0,0.0,0.0,-0.03,0.54,0.02,1
-3.15,-1.71,-3.79,-0.48,0.54,-0.04,1
0.15,0.06,-2.46,-0.23,0.14,0.03,1
-1.13,-0.73,-3.47,-0.37,0.41,-0.14,1
-1.47,1.55,-2.74,-0.25,-0.11,-0.25,1
-1.48,-0.86,-3.14,-0.15,-0.04,-0.29,1
-1.39,-1.09,-3.25,-0.1,-0.02,-0.2,1
-1.72,-0.99,-3.41,-0.16,-0.13,-0.18,1
0.0,0.0,0.0,-0.16,-0.05,-0.14,1
0.0,0.0,0.0,-0.07,-0.01,-0.19,1
0.0,0.0,0.0,-0.07,0.04,-0.35,1
0.0,0.0,0.0,-0.14,0.11,-0.17,1
0.0,0.0,0.0,-0.26,-0.04,-0.23,1
0.0,0.0,0.0,-0.05,0.3,-0.2,1
0.0,0.0,0.0,-0.06,0.22,-0.16,1
0.0,0.0,0.0,0.0,0.25,-0.23,1
0.0,0.0,0.0,-0.02,0.26,-0.21,1
0.0,0.0,0.0,-0.0,0.24,-0.24,1
0.0,0.0,0.0,-0.04,0.1,-0.28,1
0.0,0.0,0.0,0.04,-0.01,-0.36,1
0.0,0.0,0.0,-0.03,0.19,-0.26,1
0.0,0.0,0.0,-0.01,-0.14,-0.35,1
0.0,0.0,0.0,0.01,-0.13,-0.34,1
0.0,0.0,0.0,0.02,-0.05,-0.19,1
0.0,0.0,0.0,0.02,-0.08,-0.16,1
0.0,0.0,0.0,-0.03,-0.12,-0.25,1
0.0,0.0,0.0,-0.0,-0.01,-0.29,1
0.0,0.0,0.0,-0.21,-0.37,-0.12,1
0.0,0.0,0.0,-0.12,0.02,-0.0,1
-1.26,-0.92,-4.14,-0.16,-0.08,-0.02,1
-0.17,-0.92,-4.15,-0.1,-0.12,-0.03,1
-0.58,-0.81,-4.16,-0.04,0.02,-0.09,1
-0.78,-1.01,-4.07,-0.14,-0.22,-0.22,1
0.0,0.0,0.0,-0.14,-0.27,-0.32,1
0.0,0.0,0.0,0.02,-0.07,-0.27,1
0.0,0.0,0.0,-0.07,0.0,-0.38,1
0.0,0.0,0.0,0.08,-0.27,-0.31,1
0.0,0.0,0.0,-0.07,-0.08,-0.25,1
0.0,0.0,0.0,-0.14,-0.03,-0.21,1
0.0,0.0,0.0,-0.13,-0.08,-0.26,1
0.0,0.0,0.0,-0.13,-0.08,-0.2,1
0.0,0.0,0.0,-0.1,-0.29,-0.27,1
0.0,0.0,0.0,-0.12,0.07,-0.12,1
0.0,0.0,0.0,0.0,-0.2,-0.21,1
0.0,0.0,0.0,0.02,-0.17,-0.15,1
0.0,0.0,0.0,0.06,0.04,0.03,1
0.0,0.0,0.0,0.04,-0.2,-0.11,1
0.0,0.0,0.0,0.12,-0.04,-0.11,1
0.0,0.0,0.0,-0.09,-0.21,-0.15,1
0.0,0.0,0.0,-0.12,-0.18,-0.26,1
0.0,0.0,0.0,-0.16,-0.13,-0.23,1
0.0,0.0,0.0,-0.14,-0.17,-0.33,1
0.0,0.0,0.0,-0.1,-0.1,-0.36,1
0.0,0.0,0.0,0.0,-0.12,-0.37,1
0.0,0.0,0.0,0.03,0.39,-0.16,1
0.0,0.0,0.0,-0.16,-0.18,-0.17,1
0.0,0.0,0.0,-0.11,-0.1,-0.2,1
0.0,0.0,0.0,-0.09,-0.08,0.03,1
0.0,0.0,0.0,-0.1,0.17,0.07,1
0.0,0.0,0.0,-0.11,-0.14,-0.05,1
0.0,0.0,0.0,-0.14,-0.08,-0.14,1
-1.5,-1.33,-4.28,-0.07,-0.27,-0.24,1
-1.49,-0.74,-4.42,-0.08,-0.46,-0.31,1
0.0,0.0,0.0,-0.2,-0.44,-0.41,1
0.0,0.0,0.0,-0.04,-0.43,-0.39,1
0.0,0.0,0.0,-0.11,-0.38,-0.26,1
0.0,0.0,0.0,-0.18,-0.41,-0.26,1
0.0,0.0,0.0,-0.16,-0.53,-0.2,1
0.0,0.0,0.0,0.02,-0.45,-0.23,1
0.0,0.0,0.0,-0.16,-0.13,0.05,1
0.0,0.0,0.0,-0.05,-0.38,-0.1,1
0.0,0.0,0.0,-0.03,-0.31,0.01,1
0.0,0.0,0.0,0.03,-0.15,-0.08,1
-0.92,0.2,-4.74,-0.23,-0.18,-0.09,1
0.0,0.0,0.0,-0.09,-0.32,-0.18,1
0.0,0.0,0.0,-0.03,-0.07,-0.31,1
0.0,0.0,0.0,-0.07,-0.2,-0.34,1
0.0,0.0,0.0,-0.07,-0.17,-0.35,1
0.0,0.0,0.0,-0.02,-0.07,-0.37,1
-1.16,-2.06,-4.03,0.12,0.1,-0.5,1
0.0,0.0,0.0,-0.2,-0.26,-0.25,1
0.0,0.0,0.0,-0.05,-0.06,-0.19,1
-0.58,-0.97,-4.19,-0.12,0.09,-0.13,1
0.67,-0.56,-4.24,0.09,0.03,-0.15,1
0.17,-0.8,-4.15,0.04,0.1,-0.14,1
-0.27,-1.1,-4.13,-0.04,0.21,-0.1,1
0.0,0.0,0.0,-0.1,0.03,-0.18,1
0.0,0.0,0.0,-0.06,0.03,-0.22,1
-1.24,-1.17,-3.56,-0.02,0.13,-0.07,1
0.0,0.0,0.0,0.05,0.33,-0.12,1
0.0,0.0,0.0,-0.07,0.42,-0.21,1
0.0,0.0,0.0,-0.03,0.19,-0.22,1
0.0,0.0,0.0,-0.16,0.08,-0.22,1
0.0,0.0,0.0,0.0,0.22,-0.34,1
0.0,0.0,0.0,-0.09,-0.06,-0.28,1
0.0,0.0,0.0,-0.07,-0.06,-0.35,1
0.0,0.0,0.0,0.05,0.01,-0.15,1
0.0,0.0,0.0,0.05,0.1,0.07,1
0.0,0.0,0.0,0.18,0.06,-0.15,1
0.0,0.0,0.0,0.13,0.22,-0.17,1
0.0,0.0,0.0,0.07,0.09,-0.21,1
0.0,0.0,0.0,-0.06,0.16,-0.29,1
0.0,0.0,0.0,-0.06,0.05,-0.31,1
0.0,0.0,0.0,-0.02,0.16,-0.27,1
0.0,0.0,0.0,-0.09,0.49,-0.26,1
0.0,0.0,0.0,0.26,1.46,-0.01,1
-2.9,-0.42,-3.95,0.1,0.43,0.16,1
-1.14,-1.46,-3.64,0.05,0.05,-0.04,1
-1.92,-0.24,-4.04,0.13,0.55,-0.12,1
-1.93,-0.24,-4.06,0.05,0.31,-0.26,1
-2.2,-0.87,-4.08,-0.05,0.18,-0.24,1
-2.19,-0.15,-4.04,-0.1,0.08,-0.23,1
0.0,0.0,0.0,-0.06,0.13,-0.48,1
0.0,0.0,0.0,-0.04,0.09,-0.5,1
0.0,0.0,0.0,-0.11,-0.02,-0.33,1
0.0,0.0,0.0,-0.13,-0.09,-0.29,1
0.0,0.0,0.0,-0.16,-0.27,-0.35,1
0.0,0.0,0.0,-0.21,-0.33,-0.24,1
0.0,0.0,0.0,-0.2,-0.43,-0.09,1
0.0,0.0,0.0,-0.24,-0.4,-0.01,1
-0.24,-1.6,-5.08,-0.05,-0.1,0.01,1
-0.78,-1.47,-5.04,-0.14,-0.09,-0.01,1
-0.4,-0.66,-4.75,-0.21,-0.11,-0.01,1
0.0,0.0,0.0,0.05,0.08,-0.2,1
0.0,0.0,0.0,-0.03,0.12,-0.21,1
0.0,0.0,0.0,0.05,0.09,-0.35,1
0.0,0.0,0.0,0.15,0.15,-0.53,1
-2.12,-1.23,-4.89,0.13,0.28,-0.41,1
-1.78,-0.54,-4.82,0.15,0.32,-0.25,1
0.0,0.0,0.0,0.07,0.35,-0.26,1
0.0,0.0,0.0,0.12,0.73,-0.32,1
0.0,0.0,0.0,0.1,0.16,-0.21,1
0.0,0.0,0.0,0.04,0.44,-0.17,1
0.0,0.0,0.0,-0.03,0.34,-0.16,1
0.0,0.0,0.0,-0.04,0.32,-0.21,1
0.0,0.0,0.0,-0.03,0.44,-0.16,1
0.0,0.0,0.0,0.05,0.25,-0.26,1
0.0,0.0,0.0,0.04,0.19,-0.33,1
0.0,0.0,0.0,0.04,0.28,-0.31,1
0.0,0.0,0.0,0.13,0.12,-0.28,1
0.0,0.0,0.0,-0.06,0.19,-0.35,1
0.0,0.0,0.0,-0.12,0.06,-0.33,1
0.0,0.0,0.0,-0.22,0.0,-0.14,1
0.0,0.0,0.0,-0.15,-0.08,-0.11,1
0.0,0.0,0.0,-0.2,-0.15,-0.1,1
