AX,AY,AZ,GX,GY,GZ,Result
6.24,12.7,4.5,1.9,0.71,0.58,1
8.6,15.19,0.98,3.4,0.29,0.64,1
10.81,21.9,-3.04,3.54,0.7,0.18,1
8.99,19.87,5.58,2.94,1.34,2.12,1
6.72,15.33,12.22,3.05,0.65,3.48,1
8.03,7.8,5.66,2.6,-0.82,2.54,1
5.56,1.55,-0.08,1.55,-0.15,1.02,1
3.41,-11.93,-2.42,-0.58,-0.58,0.97,1
1.99,0.65,3.28,0.9,1.27,-0.63,1
1.73,-2.83,0.34,0.42,-0.42,-1.57,1
5.63,-0.2,-0.58,0.2,-0.19,-1.85,1
6.63,8.15,0.59,-0.86,-0.0,-1.95,1
6.59,15.39,6.66,-1.86,-0.35,-1.35,1
8.88,22.08,7.19,-2.82,-1.09,-0.32,1
8.96,12.46,3.25,-2.57,-0.02,-0.15,1
9.95,15.54,-4.02,-1.71,0.59,-0.53,1
10.38,9.97,-3.02,-2.63,0.52,0.22,1
9.28,6.05,2.74,-2.25,1.03,-0.05,1
0.48,1.91,5.55,-1.83,-0.05,0.69,1
3.09,-3.26,4.74,0.13,-0.69,1.4,1
0.62,-0.51,4.3,0.24,-1.0,-0.73,1
3.41,-1.16,8.07,1.71,0.26,-0.83,1
4.92,6.62,4.17,2.63,0.44,-0.45,1
5.94,15.33,0.31,2.87,0.36,-0.26,1
9.8,17.33,-4.78,2.14,0.56,-0.1,1
7.52,18.82,6.22,0.61,1.11,1.39,1
9.97,18.96,5.05,2.58,0.75,0.72,1
4.82,15.93,7.53,2.87,0.99,2.44,1
9.37,10.87,5.05,2.94,0.86,2.36,1
4.77,2.13,2.05,1.52,-0.59,1.28,1
2.86,-6.31,-2.76,-0.15,-0.7,0.71,1
2.03,-0.28,2.23,-0.41,0.59,-0.44,1
3.27,-2.95,2.74,1.09,0.15,-1.07,1
6.17,-0.07,2.31,0.1,-0.73,-1.9,1
5.04,9.56,2.49,-1.32,-0.74,-2.35,1
5.1,19.24,4.36,-2.23,-0.66,-1.65,1
6.79,22.72,5.42,-1.1,-0.79,-0.06,1
8.11,14.31,4.61,-2.29,-0.32,-0.01,1
5.72,19.13,-5.36,-1.64,0.03,-0.35,1
8.49,16.75,0.38,-3.02,0.82,0.38,1
8.53,11.3,3.93,-2.66,1.29,-0.14,1
-1.07,3.05,8.68,-1.78,0.78,0.23,1
1.42,-1.63,8.71,-0.06,0.03,1.12,1
2.68,1.59,4.75,-0.45,-1.38,-0.74,1
3.6,-0.62,8.92,0.99,-0.33,-0.66,1
4.89,5.06,6.62,2.23,-0.1,0.0,1
7.25,12.56,2.46,1.77,0.34,-0.35,1
11.31,14.25,0.73,3.08,0.74,1.04,1
14.31,25.03,-8.46,3.85,1.39,-0.43,1
6.64,17.1,4.7,2.05,1.36,0.66,1
3.88,17.09,7.69,2.59,1.59,1.99,1
6.37,15.27,5.09,2.96,1.13,2.57,1
10.29,10.05,2.61,2.57,0.11,1.72,1
1.76,1.72,-1.81,0.63,-1.29,0.96,1
3.81,-9.79,-3.2,0.58,0.49,0.98,1
6.11,3.36,2.3,1.78,1.57,-0.76,1
2.87,-4.35,0.44,0.47,-0.02,-2.44,1
6.79,5.8,-1.81,-0.24,0.24,-2.3,1
3.9,13.06,3.44,-2.0,-0.28,-1.77,1
6.38,18.73,8.38,-0.98,-1.1,-0.48,1
8.03,27.6,4.01,-0.81,-0.58,-0.46,1
9.73,17.45,-8.38,-2.97,-0.16,-0.19,1
7.95,9.4,-0.09,-3.64,0.32,0.6,1
11.78,10.87,3.87,-2.03,0.62,-0.81,1
5.21,7.49,3.99,-1.56,0.48,0.03,1
-0.52,-3.47,7.23,-1.35,-0.22,1.89,1
13.1,-2.04,3.23,0.65,-0.99,-0.4,1
-1.9,0.07,8.39,1.78,-0.02,-0.49,1
1.18,3.76,5.94,1.39,0.67,-0.76,1
10.48,13.61,3.11,2.39,0.63,-0.29,1
8.02,18.73,-1.7,2.42,0.51,0.57,1
5.95,19.63,-0.13,3.16,1.33,0.8,1
7.46,20.15,7.98,2.05,1.31,2.44,1
6.39,15.63,8.94,2.36,0.68,2.61,1
8.87,11.31,4.93,1.88,0.31,2.16,1
6.35,4.89,0.33,1.41,-0.73,1.16,1
0.91,-7.96,-3.23,1.17,-0.38,1.62,1
-0.91,-0.9,5.51,-1.33,0.21,-0.19,1
7.3,-10.17,3.52,1.08,-0.76,-1.56,1
3.38,-1.21,-0.05,0.67,0.42,-1.94,1
4.66,9.3,-0.45,-0.76,0.64,-1.63,1
5.27,17.95,7.96,-2.5,-0.02,-1.5,1
9.82,21.28,5.56,-1.8,-0.85,-1.32,1
7.07,12.19,2.39,-1.96,-0.41,-0.57,1
7.38,12.98,-3.78,-1.3,0.04,-0.23,1
10.56,14.76,-0.14,-2.24,0.66,-0.4,1
8.45,13.82,3.19,-2.35,0.9,-0.34,1
2.6,8.64,5.44,-1.51,0.61,-0.24,1
-0.3,-2.53,6.93,0.1,0.24,1.51,1
8.96,-1.96,5.21,1.0,-0.76,-0.06,1
